汉字,字符集,拆分2,拆分3,拆分3,标记,完成
废,1,广 发,,,半包围结构,完成
庠,2,广 羊,,,半包围结构,完成
庡,3,广 衣,,,半包围结构,完成
庢,3,广 至,,,半包围结构,完成
庣,3,广 兆,,,半包围结构,完成
庤,3,广 寺,,,半包围结构,完成
庥,2,广 休,,,半包围结构,完成
度,1,广 廿 又,,,,
座,1,广 坐,,,半包围结构,完成
庨,3,广 孝,,,半包围结构,完成
庩,3,广 余,,,半包围结构,完成
庪,3,广 技,,,半包围结构,完成
庫,3,广 車,,,半包围结构,完成
庬,3,广 尨,,,半包围结构,完成
庭,1,广 廷,,,半包围结构,完成
庮,3,广 酉,,,半包围结构,完成
庯,3,广 甫,,,半包围结构,完成
庰,3,广 并,,,半包围结构,完成
庱,3,广 夌,,,半包围结构,完成
庲,3,广 來,,,半包围结构,完成
庳,2,广 卑,,,半包围结构,完成
庴,3,广 昔,,,半包围结构,完成
庵,2,广 奄,,,半包围结构,完成
庶,1,广 廿 火,广 廿 灬,,,
康,1,广 隶,,,,
庸,1,广 聿 冃,广 聿 冂 二,广 肀 冂 二,,
庹,2,广 廿 尺,,,,
庺,3,广 枀,,,,
庻,3,广 廿 人 人,,,,
庼,3,广 顷,,,,
庽,3,广 禺,,,,
庾,2,广 臾,,,,
庿,3,广 苗,,,,
廀,3,广 叜,,,,
廁,3,广 則,,,,
廂,3,厂 相,,,,
廃,3,广 発,,,,
廄,3,广 艮 殳,,,,
廅,3,广 盍,,,,
廆,3,广 鬼,,,,
廇,3,广 留,,,,
廈,3,广 夏,,,,
廉,1,广 兼,,,,
廊,1,广 郎,,,,
廋,3,广 叟,,,,
廌,3,广 乛 一 丨 丨 ? 火,广 乛 一 丨 丨 ? 灬,,,
廍,3,广 部,,,,
廎,3,广 頃,,,,
廏,3,广 白 匕 殳,,,,
廐,3,广 白 匕 旡,,,,
廑,2,广 堇,,,,
廒,2,广 敖,,,,
廓,1,广 郭,,,,
廔,3,广 婁,,,,
廕,3,广 陰,,,,
廖,1,广 翏,,,,
廗,3,广 帶,,,,
廘,3,广 鹿,,,,
廙,3,广 異,,,,
廚,3,广 尌,,,,
廛,2,广 里 儿 土,,,,
廜,3,广 屠,,,,
廝,3,厂 斯,,,,
廞,3,广 欽,,,,
廟,3,广 朝,,,,
廠,3,广 敞,,,,
廡,3,广 無,,,,
廢,3,广 發,,,,
廣,3,广 黃,,,,
廤,3,,,,,
廥,3,广 會,,,,
廦,3,广 辟,,,,
廧,3,广 嗇,,,,
廨,2,广 解,,,,
廩,3,广 稟,,,,
廪,2,广 禀,,,,
廫,3,广 膠,,,,
廬,3,广 盧,,,,
廭,3,,,,,
廮,3,广 嬰,,,,
廯,3,广 鮮,,,,
廰,3,广 聴,,,,
廱,3,广 雝,,,,
廲,3,广 麗,,,,
廳,3,广 聽,,,,
廴,2,,,,,
廵,3,廴 巛,,,,
延,1,廴 丿 止,,,,
廷,1,廴 壬,,,,
廸,3,廴 由,,,,
廹,3,廴 白,,,,
建,1,廴 聿,,,,
廻,3,廴 回,,,,
廼,3,廴 西,,,,
廽,3,廴 囬,,,,
廾,2,一 丿 丨,,,,
廿,2,一 凵,,,,
开,1,一 廾,,,,
弁,2,厶 廾,,,,
异,1,已 廾,己 廾,,,
弃,1,亠 厶 廾,,,,
弄,1,王 廾,,,,
弅,3,分 廾,,,,
弆,3,去 廾,,,,
弇,3,合 廾,,,,
弈,2,亦 廾,,,,
弉,3,壯 廾,,,,
弊,1,敝 廾,,,,
弋,2,一 乁 丶,,,,
弌,3,弋 一,,,,
弍,3,弋 二,,,,
弎,3,弋 三,,,,
式,1,弋 工,,,,
弐,3,一 弋 二,,,,
弑,2,杀 式 弒,,,,
弒,3,杀 式,,,,
弓,1,? 一 ?,,,,
弔,3,弓 丨,,,,
引,1,弓 丨,,,,
弖,3,弓 一,,,,
弗,1,弓 丿 丨,,,,
弘,1,弓 厶,,,,
弙,3,弓 于,,,,
弚,3,八 弔,,,,
弛,1,弓 也,,,,
弜,3,弓 弓,,,,
弝,3,弓 巴,,,,
弞,3,弓 欠,,,,
弟,1,丷 弔 丿,丷 弓 丨 丿,,,
张,1,弓 长,,,,
弡,3,弓 巨,,,,
弢,3,弓 山 又,弓 屮 又,,,
弣,3,弓 付,,,,
弤,3,弓 氐,,,,
弥,1,弓 尔,,,,
弦,1,弓 玄,,,,
弧,1,弓 瓜,,,,
弨,3,弓 召,,,,
弩,2,奴 弓,,,,
弪,2,弓 圣,,,,
弫,3,弓 臣,,,,
弬,3,,,,,
弭,2,弓 耳,,,,
弮,3,丷 夫 弓,?? 弓,,,
弯,1,亦 弓,,,,
弰,3,弓 肖,,,,
弱,1,弓 冰 弓 冰,弓 冫 弓 冫,,,
弲,3,弓 肙,,,,
弳,3,弓 巠,,,,
弴,3,弓 享,,,,
張,3,弓 長,,,,
弶,3,弓 京,,,,
強,3,弓 厶 蟲,弓 厶 虫,,,
弸,3,弓 朋,,,,
弹,1,弓 单,,,,
强,1,弓 虽,,,,
弻,3,弓 丙 一 弓,,,,
弼,2,弓 百 弓,,,,
弽,3,弓 枼,,,,
弾,3,弓 単,,,,
弿,3,宀 井 大 弓,,,,
彀,2,士 冖 一 弓 殳,,,,
彁,3,,,,,
彂,3,业 矤,,,,
彃,3,弓 畢,,,,
彄,3,弓 區,,,,
彅,3,,,,,
彆,3,敝 弓,,,,
彇,3,弓 肅,,,,
彈,3,弓 單,,,,
彉,3,弓 黃,,,,
彊,3,弓 畺,,,,
彋,3,弓 睘,,,,
彌,3,弓 爾,,,,
彍,3,弓 廣,,,,
彎,3,絲 言 弓,糹 言 糹 弓,? 弓,,
彏,3,弓 矍,,,,
彐,2,,,,,
彑,3,,,,,
归,1,丨 丿 彐,,,,
当,1,小 彐,,,,
彔,3,彑 水,,,,
录,1,彐 水,,,,
彖,2,彑 豕,,,,
彗,2,丰 丰 彐,,,,
彘,2,彑 比 矢,彑 匕 矢 匕,,,
彙,3,彑 冖 果,,,,
彚,3,彐 冖 果,,,,
彛,3,彐 米 分 廾,,,,
彜,3,彑 米 分 廾,,,,
彝,1,彑 米 糸 廾,,,,
彞,3,彐 米 糸 廾,,,,
彟,3,寻 蒦,,,左右结构,完成
彠,3,尋 蒦,,,左右结构,完成
彡,2,,,,独体字,完成
形,1,开 彡,,,,
彣,3,丶 又 彡,,,左右结构,完成
彤,1,丹 彡,,,左右结构,完成
彥,3,文 厂 彡,,,,
彦,1,亠 丷 厂 彡,,,,
彧,3,或 彡,或 丿 丿,,,
彨,3,丽 彡,,,左右结构,完成
彩,1,采 彡,,,左右结构,完成
彪,1,虎 彡,,,左右结构,完成
彫,3,周 彡,,,左右结构,完成
彬,1,林 彡,,,左右结构,完成
彭,1,壴 彡,,,左右结构,完成
彮,3,容 彡,,,左右结构,完成
彯,3,票 彡,,,左右结构,完成
彰,1,章 彡,,,左右结构,完成
影,1,景 彡,,,左右结构,完成
彲,3,麗 彡,,,左右结构,完成
彳,2,丿 人,丿 亻,,,
彴,3,彳 勺,,,,
彵,3,彳 也,,,左右结构,完成
彶,3,彳 及,,,左右结构,完成
彷,2,彳 方,,,左右结构,完成
彸,3,彳 公,,,左右结构,完成
役,1,彳 殳,,,左右结构,完成
彺,3,彳 王,,,左右结构,完成
彻,1,彳 切,,,左右结构,完成
彼,1,彳 皮,,,左右结构,完成
彽,3,彳 氐,,,左右结构,完成
彾,3,彳 令,,,左右结构,完成
彿,3,彳 弗,,,左右结构,完成
往,1,彳 主,,,左右结构,完成
征,1,彳 正,,,左右结构,完成
徂,2,彳 且,,,左右结构,完成
徃,3,彳 生,,,左右结构,完成
径,1,彳 圣,,,左右结构,完成
待,1,彳 寺,,,左右结构,完成
徆,3,彳 西,,,左右结构,完成
徇,2,彳 旬,,,左右结构,完成
很,1,彳 艮,,,左右结构,完成
徉,2,彳 羊,,,左右结构,完成
徊,1,彳 回,,,左右结构,完成
律,1,彳 聿,,,左右结构,完成
後,2,彳 幺 夂,彳 幺 夕,,,
徍,3,彳 圭,,,左右结构,完成
徎,3,彳 呈,,,左右结构,完成
徏,3,彳 步,,,左右结构,完成
徐,1,彳 余,,,左右结构,完成
徑,3,彳 巠,,,左右结构,完成
徒,1,彳 走,,,左右结构,完成
従,3,彳 丷 一 卜 人 ,彳 丷 下 人,,,
徔,3,彳 芝,,,左右结构,完成
徕,2,彳 来,,,左右结构,完成
徖,3,彳 宗,,,左右结构,完成
得,1,彳 日 一 寸,,,,
徘,1,彳 非,,,左右结构,完成
徙,2,彳 歨,,,左右结构,完成
徚,3,彳 柬,,,左右结构,完成
徛,3,彳 奇,,,左右结构,完成
徜,2,彳 尚,,,左右结构,完成
徝,3,彳 直,,,左右结构,完成
從,3,彳 人 人 疋,,,,
徟,3,彳 周,,,左右结构,完成
徠,3,彳 來,,,左右结构,完成
御,1,彳 卸,,,左右结构,完成
徢,3,彳 疌,,,左右结构,完成
徣,3,彳 昔,,,左右结构,完成
徤,3,彳 建,,,左右结构,完成
徥,3,彳 是,,,左右结构,完成
徦,3,彳 叚,,,左右结构,完成
徧,3,彳 扁,,,左右结构,完成
徨,2,彳 皇,,,左右结构,完成
復,3,彳 复,,,左右结构,完成
循,1,彳 盾,,,左右结构,完成
徫,3,彳 韋,,,左右结构,完成
徬,3,彳 旁,,,左右结构,完成
徭,2,彳 月 缶,,,,
微,1,彳 山 兀 攵,,,,
徯,3,彳 奚,,,左右结构,完成
徰,3,彳 正 正,,,,
徱,3,彳 票,,,左右结构,完成
徲,3,彳 犀,,,左右结构,完成
徳,3,彳 十 罒 心,,,,
徴,3,彳 山 王 攵,,,,
徵,2,彳 山 一 王 攵,,,,
徶,3,彳 敝,,,,
德,1,彳 十 罒 一 心,,,,
徸,3,彳 童,,,左右结构,完成
徹,3,彳 育 攵,,,左右结构,完成
徺,3,彳 堯,,,,
徻,3,彳 會,,,,
徼,2,彳 敫,,,,
徽,1,彳 山 糸 攵,,,,
徾,3,彳 山 一 言 攵,,,,
徿,3,彳 龍,,,左右结构,完成
忀,3,彳 襄,,,左右结构,完成
忁,3,彳 日 出 大 水,,,左右结构,
忂,3,彳 瞿,,,左右结构,完成
心,1,,,,独体字,完成
忄,2,,,,独体字,完成
必,1,,,,独体字,完成
忆,1,忄 乙,,,左右结构,完成
忇,3,忄 力,,,左右结构,完成
忈,3,二 心,,,,
忉,2,忄 刀,,,左右结构,完成
忊,3,忄 丁,,,左右结构,完成
忋,3,忄 己,,,左右结构,完成
忌,1,己 心,,,,
忍,1,刃 心,,,,
忎,3,千 心,,,,
忏,2,忄 千,,,左右结构,完成
忐,2,上 心,,,上下结构,完成
忑,2,下 心,,,上下结构,完成
忒,2,弋 心,,,,
忓,3,忄 干,,,左右结构,完成
忔,3,忄 乞,,,左右结构,完成
忕,3,忄 大,,,左右结构,完成
忖,2,忄 寸,,,左右结构,完成
志,1,士 心,,,上下结构,完成
忘,1,亡 心,,,上下结构,完成
忙,1,忄 亡,,,左右结构,完成
忚,3,忄 也,,,左右结构,完成
忛,3,忄 凡,,,左右结构,完成
応,3,广 心,,,,
忝,2,天 心,,,,
忞,3,文 心,,,,
忟,3,忄 文,,,,
忠,1,中 心,,,,
忡,2,忄 中,,,,
忢,3,五 心,,,,
忣,3,忄 及,,,,
忤,2,忄 午,,,,
忥,3,气 心,,,,
忦,3,忄 介,,,,
忧,1,忄 尤,,,,
忨,3,忄 元,,,,
忩,3,公 心,,,,
忪,2,忄 公,,,,
快,1,忄 夬,,,,
忬,3,忄 予,,,,
忭,2,忄 卞,,,,
忮,2,忄 支,,,,
忯,3,忄 氐,,,,
忰,3,忄 卆,,,,
忱,1,忄 冘,,,,
忲,3,忄 太,,,,
忳,3,忄 屯,,,,
忴,3,忄 今,,,,
念,1,今 心,,,,
忶,3,忄 云,,,,
忷,3,忄 凶,,,,
忸,2,忄 丑,,,,
忹,3,忄 王,,,,
忺,3,忄 欠,,,,
忻,1,忄 斤,,,,
忼,3,忄 亢,,,,
忽,1,勿 心,,,,
忾,2,忄 气,,,,
忿,1,分 心,,,,
怀,1,忄 不,,,,
态,1,太 心,,,,
怂,1,从 心,,,,
怃,2,忄 无,,,,
怄,2,忄 区,,,左右结构,
怅,2,忄 长,,,左右结构,
怆,2,忄 仓,,,左右结构,
怇,3,忄 巨,,,左右结构,
怈,3,忄 世,,,左右结构,
怉,3,忄 包,,,左右结构,
怊,2,忄 召,,,左右结构,
怋,3,忄 民,,,左右结构,
怌,3,忄 丕,,,左右结构,
怍,2,忄 乍,,,左右结构,
怎,1,乍 心,,,,
怏,2,忄 央,,,,
怐,3,忄 句,,,,
怑,3,忄 半,,,,
怒,1,奴 心,,,,
怓,3,忄 奴,,,,
怔,1,忄 正,,,,
怕,1,忄 白,,,,
怖,1,忄 布,,,,
怗,3,忄 占,,,,
怘,3,古 心,,,,
怙,2,忄 古,,,,
怚,3,忄 且,,,,
怛,2,忄 旦,,,,
怜,1,忄 令,,,,
思,1,田 心,,,,
怞,3,忄 由,,,,
怟,3,忄 氐,,,,
怠,1,台 心,,,,
怡,2,忄 台,,,,
怢,3,忄 失,,,,
怣,3,失 心,,,,
怤,3,付 心,,,,
急,1,刍 心,,,,
怦,2,忄 平,,,,
性,1,忄 生,,,,
怨,1,夗 心,,,,
怩,2,忄 尼,,,,
怪,1,忄 圣,,,,
怫,2,忄 弗,,,,
怬,3,忄 四,,,,
怭,3,忄 必,,,,
怮,3,忄 幼,,,,
怯,1,忄 去,,,,
怰,3,忄 玄,,,,
怱,3,匆 心,,,,
怲,3,忄 丙,,,,
怳,3,忄 兄,,,,
怴,3,忄 戉,,,,
怵,2,忄 术,,,,
怶,3,忄 皮,,,,
怷,3,朮 心,,,,
怸,3,术 心,,,,
怹,3,他 心,,,,
怺,3,忄 永,,,,
总,1,丷 口 心,,,,
怼,2,对 心,,,,
怽,3,忄 未,,,,
怾,3,忄 只,,,,
怿,2,忄 又 二 丨,,,,
恀,3,忄 多,,,,
恁,2,任 心,,,,
恂,2,忄 旬,,,,
恃,1,忄 寺,,,,
恄,3,忄 吉,,,,
恅,3,忄 老,,,,
恆,3,忄 亙,,,,
恇,3,忄 匡,,,,
恈,3,忄 牟,,,,
恉,3,忄 旨,,,,
恊,3,忄 劦,,,,
恋,1,亦 心,,,,
恌,3,忄 兆,,,,
恍,1,忄 光,,,,
恎,3,忄 至,,,,
恏,3,好 心,,,,
恐,1,巩 心,,,,
恑,3,忄 危,,,,
恒,1,忄 亘,,,,
恓,3,忄 西,,,,
恔,3,忄 交,,,,
恕,1,女 口 心,,,,
恖,3,,,,,
恗,3,忄 夸,,,,
恘,3,忄 休,,,,
恙,2,羊 心,,,,
恚,2,圭 心,,,,
恛,3,忄 回,,,,
恜,3,忄 式,,,,
恝,2,丰 刀 心,,,,
恞,3,忄 夷,,,,
恟,3,忄 匈,,,,
恠,3,忄 在,,,,
恡,3,忄 乂 厷,,,,
恢,1,忄 灰,,,,
恣,2,次 心,,,,
恤,1,忄 血,,,,
恥,3,耳 心,,,,
恦,3,忄 向,,,,
恧,2,而 心,,,,
恨,1,忄 艮,,,,
恩,1,因 心,,,,
恪,2,忄 各,,,,
恫,1,忄 同,,,,
恬,1,忄 舌,,,,
恭,1,共 小 丶,,,,
恮,3,忄 全,,,,
息,1,自 心,,,,
恰,1,忄 合,,,,
恱,3,忄 兊,,,,
恲,3,忄 并,,,,
恳,1,艮 心,,,,
恴,3,亠 日 心,,,,
恵,3,一 由 心,,,,
恶,1,亚 心,,,,
恷,3,休 心,,,,
恸,2,忄 动,,,,
恹,2,忄 厌,,,,
恺,2,忄 岂,,,,
恻,2,忄 则,,,,
恼,1,忄 亠 乂 凵,,,,
恽,2,忄 军,,,,
恾,3,忄 芒,,,,
恿,1,甬 心,,,,
悀,3,忄 甬,,,,
悁,3,忄 肙,,,,
悂,3,忄 坒,,,,
悃,2,忄 困,,,,
悄,1,忄 肖,,,,
悅,3,忄 兌,,,,
悆,3,余 心,,,,
悇,3,忄 余,,,,
悈,3,忄 戒,,,,
悉,1,釆 心,,,,
悊,3,折 心,,,,
悋,3,忄 吝,,,,
悌,2,忄 弟,,,,
悍,1,忄 旱,,,,
悎,3,忄 告,,,,
悏,3,忄 夾,,,,
悐,3,狄 心,,,,
悑,3,忄 甫,,,,
悒,2,忄 邑,,,,
悓,3,忄 見,,,,
悔,1,忄 每,,,,
悕,3,忄 希,,,,
悖,2,忄 孛,,,,
悗,3,忄 免,,,,
悘,3,医 心,,,,
悙,3,忄 亨,,,,
悚,2,忄 束,,,,
悛,2,忄 夋,,,,
悜,3,忄 呈,,,,
悝,2,忄 里,,,,
悞,3,忄 吳,,,,
悟,1,忄 吾,,,,
悠,1,攸 心,,,,
悡,3,利 心,,,,
悢,3,忄 良,,,,
患,1,串 心,,,,
悤,3,囱 心,,,,
悥,3,言 心,,,,
悦,1,忄 兑,,,,
悧,3,忄 利,,,,
您,1,你 心,,,,
悩,3,忄 小 乂 凵,,,,
悪,3,亜 心,,,,
悫,2,壳 心,,,,
悬,1,县 心,,,,
悭,2,忄 坚,,,,
悮,3,忄 吴,,,,
悯,1,忄 闵,,,,
悰,3,忄 宗,,,,
悱,2,忄 非,,,,
悲,1,非 心,,,,
悳,3,直 心,,,,
悴,2,忄 卒,,,,
悵,3,忄 長,,,,
悶,3,門 心,,,,
悷,3,忄 戾,,,,
悸,1,忄 季,,,,
悹,3,官 心,,,,
悺,3,忄 官,,,,
悻,2,忄 幸,,,,
悼,1,忄 卓,,,,
悽,3,忄 妻,,,,
悾,3,忄 空,,,,
悿,3,忄 忝,,,,
惀,3,忄 侖,,,,
惁,3,析 心,,,,
惂,3,忄 臽,,,,
惃,3,忄 昆,,,,
惄,3,叔 心,,,,
情,1,忄 青,,,,
惆,2,忄 周,,,,
惇,3,忄 享,,,,
惈,3,忄 果,,,,
惉,3,沾 心,,,,
惊,1,忄 京,,,,
惋,1,忄 宛,,,,
惌,3,宀 怨,,,,
惍,3,忄 金,,,,
惎,3,其 心,,,,
惏,3,忄 林,,,,
惐,3,忄 或,,,,
惑,1,或 心,,,,
惒,3,和 心,,,,
惓,3,忄 卷,,,,
惔,3,忄 炎,,,,
惕,1,忄 易,,,,
惖,3,易 心,,,上下结构,
惗,3,忄 念,,,左右结构,
惘,2,忄 罔,,,左右结构,
惙,3,忄 叕,,,左右结构,
惚,2,忄 忽,,,左右结构,
惛,3,忄 昏,,,左右结构,
惜,1,忄 昔,,,左右结构,
惝,2,忄 尚,,,左右结构,
惞,3,忄 欣,,,左右结构,
惟,1,忄 隹,,,左右结构,
惠,1,叀 心,,,,
惡,3,亞 心,,,左右结构,
惢,3,心 心 心,,,,
惣,3,物 心,,,,
惤,3,忄 弦,,,,
惥,3,臾 心,,,,
惦,1,忄 店,,,左右结构,
惧,1,忄 具,,,左右结构,
惨,1,忄 参,,,左右结构,
惩,1,征 心,,,上下结构,
惪,3,直 心,,,上下结构,
惫,1,备 心,,,上下结构,
惬,2,忄 匧,,,,
惭,1,忄 斩,,,,
惮,1,忄 单,,,,
惯,1,忄 贯,,,,
惰,1,忄 左 月,,,,
惱,3,忄 巛 囟,,,,
惲,3,忄 軍,,,,
想,1,相 心,,,,
惴,2,忄 耑,,,,
惵,3,忄 枼,,,,
惶,1,忄 皇,,,,
惷,3,春 心,,,,
惸,3,忄 旬 子,,,,
惹,1,若 心,,,,
惺,1,忄 星,,,,
惻,3,忄 則,,,,
惼,3,忄 扁,,,,
惽,3,忄 昬,,,,
惾,3,忄 凶 八 夂,,,,
惿,3,忄 是,,,,
愀,2,忄 秋,,,,
愁,1,秋 心,,,,
愂,3,勃 心,,,,
愃,3,忄 宣,,,,
愄,3,忄 畏,,,,
愅,3,忄 革,,,,
愆,2,衍 心,,,,
愇,3,忄 韋,,,,
愈,1,俞 心,,,,
愉,1,忄 俞,,,,
愊,3,忄 畐,,,,
愋,3,忄 爰,,,,
愌,3,忄 奐,,,,
愍,2,敃 心,,,,
愎,2,忄 复,,,,
意,1,音 心,,,,
愐,3,忄 面,,,,
愑,3,忄 勇,,,,
愒,3,忄 曷,,,,
愓,3,忄 昜,,,,
愔,3,忄 音,,,,
愕,2,忄 咢,,,,
愖,3,忄 甚,,,,
愗,3,敄 心,,,,
愘,3,忄 客,,,,
愙,3,客 心,,,,
愚,1,禺 心,,,,
愛,3,爫 冖 心 夂,,,,
愜,3,忄 匧,,,,
愝,3,忄 匽,,,,
愞,3,忄 耎,,,,
感,1,咸 心,,,,
愠,2,忄 昷,,,,
愡,3,忄 怱,,,,
愢,3,忄 思,,,,
愣,2,忄 罒 方,,,,
愤,1,忄 贲,,,,
愥,3,忄 英,,,,
愦,2,忄 贵,,,,
愧,1,忄 鬼,,,,
愨,3,士 冖 一 殳 心,,,,
愩,3,忄 貢,,,,
愪,3,忄 員,,,,
愫,2,忄 素,,,,
愬,3,朔 心,,,,
愭,3,忄 耆,,,,
愮,3,忄 月 缶,,,,
愯,3,忄 隻,,,,
愰,3,忄 晃,,,,
愱,3,忄 疾,,,,
愲,3,忄 骨,,,,
愳,3,目 目 心,,,,
愴,3,忄 倉,,,,
愵,3,忄 弱,,,,
愶,3,忄 脅,,,,
愷,3,忄 豈,,,,
愸,3,勑 心,,,,
愹,3,忄 容,,,,
愺,3,忄 草,,,,
愻,3,孫 心,,,,
愼,3,忄 眞,,,,
愽,3,忄 尃,,,,
愾,3,忄 氣,,,,
愿,1,原 心,,,,
慀,3,忄 奚,,,,
慁,3,圂 心,,,,
慂,3,涌 心,,,,
慃,3,忄 翁,,,,
慄,3,忄 栗,,,,
慅,3,忄 蚤,,,,
慆,3,忄 舀,,,,
慇,3,殷 心,,,,
慈,1,茲 心,,,,
慉,3,忄 畜,,,,
慊,2,忄 丶 丶 兼,,,,
態,3,能 心,,,,
慌,1,忄 荒,,,,
慍,3,忄 囚 皿,,,,
慎,1,忄 真,,,,
慏,3,忄 冥,,,,
慐,3,,,,,
慑,1,忄 聂,,,,
慒,3,忄 曹,,,,
慓,3,忄 票,,,,
慔,3,忄 莫,,,,
慕,1,莫 小 丶,,,,
慖,3,忄 國,,,,
慗,3,敕 心,,,,
慘,3,忄 參,,,,
慙,3,斬 心,,,,
慚,3,忄 斬,,,,
慛,3,忄 崔,,,,
慜,3,敏 心,,,,
慝,2,匿 心,,,,
慞,3,忄 章,,,,
慟,3,忄 動,,,,
慠,3,忄 敖,,,,
慡,3,忄 爽,,,,
慢,1,忄 曼,,,,
慣,3,忄 貫,,,,
慤,3,殼 心,,,,
慥,3,忄 造,,,,
慦,3,救 心,,,,
慧,1,彗 心,,,,
慨,1,忄 既,,,,
慩,3,忄 連,,,,
慪,3,忄 區,,,,
慫,3,從 心,,,,
慬,3,忄 堇,,,,
慭,3,来 犬 心,,,,
慮,3,虍 思 心,,,,
慯,3,忄 丿 一 昜,,,,
慰,1,尉 心,,,,
慱,3,忄 專,,,,
慲,3,忄 廿 冂 丨 入 入,,,,
慳,3,忄 堅,,,,
慴,3,忄 習,,,,
慵,2,忄 庸,,,,
慶,3,广 乛 一 丨 丨 乛 心 夂,,,,
慷,1,忄 康,,,,
慸,3,帶 心,,,,
慹,3,執 心,,,,
慺,3,心 婁,忄 婁,,,
慻,3,心 丷 夫 目,忄 丷 夫 目,心 ?? 目,,
慼,3,戚 心,,,,
慽,3,心 戚,忄 戚,,,
慾,3,欲 心,,,,
慿,3,,,,,
憀,3,心 翏,忄 翏,,,
憁,3,心 悤,忄 悤,,,
憂,3,一 白 冖 心 夕,一 白 冖 心 夂,,,
憃,3,舂 心,,,,
憄,3,徝 心,,,,
憅,3,動 心,,,,
憆,3,心 堂,忄 堂,,,
憇,3,甜 心,,,,
憈,3,心 虛,忄 虛,,,
憉,3,心 彭,忄 彭,,,
憊,3,備 心,,,,
憋,1,敝 心,,,,
憌,3,鈞 心,,,,
憍,3,忄 喬,,,,
憎,1,忄 曽,,心 曾,,
憏,3,忄 祭,,,,
憐,3,忄 粦,,,,
憑,3,馮 心,,,,
憒,3,忄 貴,,,,
憓,3,忄 惠,,,,
憔,2,忄 焦,,,,
憕,3,忄 登,,,,
憖,3,猌 心,,,,
憗,3,來 攴 心,,,,
憘,3,忄 喜,,,,
憙,3,喜 心,,,,
憚,3,忄 單,,,,
憛,3,忄 覃,,,,
憜,3,忄 隋,,,,
憝,2,敦 心,,,,
憞,3,忄 敦,,,,
憟,3,忄 粟,,,,
憠,3,厥 心,,,,
憡,3,忄 策,,,,
憢,3,忄 堯,,,,
憣,3,忄 番,,,,
憤,3,忄 賁,,,,
憥,3,勞 心,,,,
憦,3,忄 勞,,,,
憧,2,忄 童,,,,
憨,1,敢 心,,,,
憩,2,舌 自 心,,,,
憪,3,忄 閒,,,,
憫,3,忄 閔,,,,
憬,2,忄 景,,,,
憭,3,忄 尞,,,,
憮,3,忄 無,,,,
憯,3,忄 朁,,,,
憰,3,忄 矞,,,,
憱,3,忄 就,,,,
憲,3,宀 丰 罒 心,,,,
憳,3,忄 尋,,,,
憴,3,忄 黽,,,,
憵,3,辟 心,,,,
憶,3,忄 意,,,,
憷,2,忄 楚,,,,
憸,3,忄 僉,,,,
憹,3,忄 農,,,,
憺,3,忄 詹,,,,
憻,3,忄 亶,,,,
憼,3,敬 心,,,,
憽,3,忄 葱,,,,
憾,1,忄 感,,,,
憿,3,忄 敫,,,,
懀,3,忄 會,,,,
懁,3,忄 睘,,,,
懂,1,忄 董,,,,
懃,3,勤 心,,,,
懄,3,忄 勤,,,,
懅,3,忄 豦,,,,
懆,3,忄 喿,,,,
懇,3,豸 艮 心,,,,
懈,1,忄 解,,,,
應,3,广 倠 心,,,,
懊,1,忄 奥,,,,
懋,2,楙 心,,,,
懌,3,忄 睪,,,,
懍,3,忄 稟,,,,
懎,3,忄 嗇,,,,
懏,3,忄 雋,,,,
懐,3,忄 十 罒 衣,,,,
懑,2,满 心,,,,
懒,1,忄 赖,,,,
懓,3,忄 愛,,,,
懔,2,忄 禀,,,,
懕,3,厭 心,,,,
懖,3,銛 心,,,,
懗,3,忄 赫,,,,
懘,3,滯 心,,,,
懙,3,忄 與,,,,
懚,3,忄 爫 工 彐 心,,,,
懛,3,忄 臺,,,,
懜,3,忄 夢,,,,
懝,3,忄 疑,,,,
懞,3,忄 蒙,,,,
懟,3,對 心,,,,
懠,3,忄 齊,,,左右结构,
懡,3,忄 麽,,,左右结构,
懢,3,忄 監,,,左右结构,
懣,3,滿 心,,,,
懤,3,忄 壽,,,,
懥,3,忄 疐,,,,
懦,1,忄 需,,,,
懧,3,忄 寧,,,,
懨,3,忄 厭,,,,
懩,3,忄 養,,,,
懪,3,忄 暴,,,,
懫,3,忄 質,,,,
懬,3,廣 心,,,,
懭,3,忄 廣,,,,
懮,3,忄 憂,,,,
懯,3,敷 心,,,,
懰,3,忄 劉,,,,
懱,3,忄 蔑,,,,
懲,3,徴 心,,,,
懳,3,,,,,
懴,3,心 千,,忄 千,,
懵,2,忄 瞢,,,,
懶,3,忄 賴,,,,
懷,3,忄 褱,,,,
懸,3,縣 心,,,,
懹,3,忄 襄,,,,
懺,3,忄 韱,,,,
懻,3,忄 冀,,,,
懼,3,忄 瞿,,,,
懽,3,忄 雚,,,,
懾,3,忄 聶,,,,
懿,2,壹 恣,,,,
戀,3,絲 言 心,糸 言 糸 心,? 心,,
戁,3,難 心,,,,
戂,3,忄 靡,,,,
戃,3,忄 黨,,,,
戄,3,忄 矍,,,,
戅,3,贑 心,,,,
戆,2,立 早 攴 页 心,立 早 攵 页 心,,,
戇,3,立 早 攴 頁 心,立 早 攵 頁 心,,,
戈,1,一 乁 丿 丶,,,,
戉,3,,,,,
戊,1,丿 戈,,,,
戋,2,戈 一,,,,
戌,1,戊 一,,,,
戍,1,戊 丶,,,,
